CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalSpend,Contract,SupportCalls,Churn
C0118,41,Female,64,1855.0,118720.0,Yearly,2,No
C0119,65,Male,36,1304.45,46960.2,Monthly,6,Yes
C0120,49,Female,24,2641.21,63389.04,Quarterly,4,No
C0121,29,Female,55,2327.35,128004.25,Monthly,8,Yes
C0122,52,Female,30,2736.89,82106.7,Monthly,3,No
C0123,65,Female,13,2717.91,35332.83,Yearly,0,Yes
C0124,53,Male,12,2888.06,34656.72,Quarterly,2,No
C0125,29,Male,9,1162.15,10459.35,Yearly,3,No
C0126,36,Male,16,1510.8,24172.8,Quarterly,2,No
C0127,29,Male,25,1795.0,44875.0,Quarterly,4,No
C0128,53,Female,53,2437.26,129174.78,Yearly,8,Yes
C0129,56,Male,53,1634.93,86651.29,Quarterly,6,Yes
C0130,31,Female,5,2290.0,11450.0,Monthly,10,Yes
C0131,28,Male,18,2915.36,52476.48,Yearly,8,No
C0132,27,Male,58,1969.19,114213.02,Monthly,5,Yes
C0133,24,Male,46,2192.62,100860.52,Quarterly,9,No
C0134,26,Female,50,2708.12,135406.0,Monthly,1,Yes
C0135,22,Female,29,529.06,15342.74,Yearly,2,No
C0136,25,Male,65,2676.97,174003.05,Yearly,0,No
C0137,24,Female,45,2334.12,105035.4,Quarterly,5,No
C0138,48,Male,19,2398.3,45567.7,Monthly,5,Yes
C0139,56,Male,19,600.23,11404.37,Yearly,2,No
C0140,62,Female,13,1394.05,18122.65,Quarterly,9,No
C0141,37,Male,72,617.32,44447.04,Monthly,8,No
C0142,56,Female,1,2138.81,2138.81,Yearly,8,Yes
C0143,66,Male,25,2645.22,66130.5,Monthly,5,Yes
C0144,23,Female,58,332.82,19303.56,Monthly,4,Yes
C0145,33,Male,36,1795.41,64634.76,Yearly,3,No
C0146,35,Male,47,1999.38,93970.86,Quarterly,0,No
C0147,20,Female,16,2290.17,36642.72,Monthly,10,No
C0148,29,Male,16,2703.71,43259.36,Quarterly,7,Yes
C0149,45,Male,8,758.14,6065.12,Quarterly,3,No
C0150,43,Male,8,1254.05,10032.4,Yearly,1,No
C0151,45,Female,41,1001.86,41076.26,Yearly,10,No
C0152,34,Male,33,1410.26,46538.58,Quarterly,2,No
C0153,23,Female,69,1956.22,134979.18,Quarterly,1,No
C0154,27,Female,56,2666.99,149351.44,Quarterly,10,Yes
C0155,62,Female,5,371.19,1855.95,Quarterly,0,No
C0156,18,Female,18,2965.65,53381.7,Monthly,0,Yes
C0157,28,Female,26,1328.41,34538.66,Quarterly,5,No
C0158,44,Male,49,2563.49,125611.01,Monthly,1,No
C0159,58,Female,1,336.91,336.91,Monthly,6,Yes
C0160,23,Female,69,2999.24,206947.56,Quarterly,5,No
C0161,20,Female,53,1879.9,99634.7,Monthly,4,No
C0162,54,Male,17,950.93,16165.81,Quarterly,8,Yes
C0163,63,Female,1,2875.94,2875.94,Yearly,3,No
C0164,18,Female,32,426.62,13651.84,Quarterly,7,Yes
C0165,56,Male,26,1645.05,42771.3,Quarterly,5,No
C0166,20,Female,50,2600.89,130044.5,Yearly,5,No
C0167,61,Male,5,538.7,2693.5,Yearly,10,No
C0168,34,Female,47,1435.45,67466.15,Monthly,4,No
C0169,38,Female,14,2201.02,30814.28,Yearly,2,No
C0170,56,Male,38,1966.61,74731.18,Yearly,1,No
C0171,55,Female,50,1892.78,94639.0,Yearly,10,No
C0172,68,Male,63,2261.27,142460.01,Yearly,8,Yes
C0173,55,Female,30,1979.63,59388.9,Quarterly,2,No
C0174,34,Male,5,2450.47,12252.35,Yearly,9,Yes
C0175,34,Male,17,997.26,16953.42,Yearly,7,No
C0176,22,Female,34,1976.18,67190.12,Yearly,1,No
C0177,30,Male,43,948.39,40780.77,Yearly,2,No
C0178,64,Male,23,645.72,14851.56,Quarterly,10,No
C0179,33,Male,8,786.18,6289.44,Monthly,3,Yes
C0180,42,Female,67,2660.66,178264.22,Quarterly,10,No
C0181,46,Male,32,765.26,24488.32,Monthly,9,Yes
C0182,68,Male,19,2518.83,47857.77,Monthly,1,No
C0183,45,Male,42,777.93,32673.06,Monthly,4,Yes
C0184,23,Male,1,1742.94,1742.94,Yearly,9,No
C0185,63,Female,34,647.62,22019.08,Quarterly,9,Yes
C0186,62,Male,27,406.14,10965.78,Monthly,8,No
C0187,64,Female,56,2658.66,148884.96,Monthly,0,No
C0188,43,Male,36,2476.74,89162.64,Monthly,0,No
C0189,52,Male,52,865.24,44992.48,Monthly,7,Yes
C0190,39,Female,14,1969.29,27570.06,Monthly,6,Yes
C0191,31,Male,2,2318.17,4636.34,Quarterly,10,Yes
C0192,68,Female,7,2155.35,15087.45,Quarterly,6,No
C0193,63,Female,18,1508.01,27144.18,Yearly,2,No
C0194,68,Male,15,583.15,8747.25,Quarterly,6,Yes
C0195,54,Female,28,354.19,9917.32,Monthly,8,Yes
C0196,34,Female,44,929.68,40905.92,Monthly,3,Yes
C0197,42,Female,68,1258.78,85597.04,Quarterly,8,No
C0198,62,Male,18,534.68,9624.24,Monthly,5,No
C0199,51,Female,8,1883.65,15069.2,Quarterly,2,Yes
C0200,59,Male,41,1211.11,49655.51,Yearly,3,No
C0201,43,Female,64,1841.1,117830.4,Quarterly,7,No
C0202,62,Female,70,1935.59,135491.3,Monthly,0,No
C0203,39,Female,21,712.72,14967.12,Monthly,6,Yes
C0204,65,Male,4,2597.21,10388.84,Quarterly,7,Yes
C0205,26,Female,3,1716.18,5148.54,Quarterly,7,Yes
C0206,54,Female,36,2992.59,107733.24,Monthly,5,Yes
C0207,19,Female,4,314.31,1257.24,Monthly,5,No
C0208,66,Male,51,2516.33,128332.83,Quarterly,1,No
C0209,32,Male,8,1586.87,12694.96,Quarterly,4,Yes
C0210,23,Male,26,1173.93,30522.18,Quarterly,2,No
C0211,37,Male,20,954.51,19090.2,Monthly,0,Yes
C0212,43,Female,14,1079.3,15110.2,Monthly,4,No
C0213,28,Female,3,439.92,1319.76,Quarterly,1,No
C0214,27,Female,5,471.11,2355.55,Quarterly,1,Yes
C0215,30,Male,40,2486.66,99466.4,Quarterly,0,Yes
C0216,54,Male,17,615.08,10456.36,Yearly,7,No
C0217,55,Male,35,1241.94,43467.9,Monthly,0,No
C0218,22,Female,62,2314.13,143476.06,Quarterly,1,No
C0219,31,Female,9,853.5,7681.5,Monthly,2,No
C0220,52,Male,1,2301.03,2301.03,Monthly,5,No
C0221,46,Male,72,2535.44,182551.68,Quarterly,4,No
C0222,31,Female,60,741.87,44512.2,Quarterly,4,No
C0223,54,Male,5,936.37,4681.85,Monthly,9,Yes
C0224,21,Female,42,1359.6,57103.2,Monthly,7,Yes
C0225,25,Female,39,2227.21,86861.19,Monthly,2,No
C0226,55,Male,23,1484.61,34146.03,Quarterly,0,No
C0227,42,Male,17,2728.85,46390.45,Quarterly,6,No
C0228,19,Female,53,2747.47,145615.91,Yearly,2,Yes
C0229,56,Female,51,1465.13,74721.63,Quarterly,2,No
C0230,24,Female,51,1204.25,61416.75,Yearly,3,No
C0231,32,Female,29,1637.64,47491.56,Monthly,6,Yes
C0232,44,Female,36,2993.77,107775.72,Monthly,8,Yes
C0233,50,Male,27,2308.65,62333.55,Quarterly,3,Yes
C0234,39,Male,66,2358.64,155670.24,Yearly,10,Yes
C0235,27,Female,38,1748.5,66443.0,Yearly,3,No
C0236,62,Female,52,1372.68,71379.36,Quarterly,7,No
C0237,22,Female,29,918.98,26650.42,Quarterly,1,No
C0238,44,Male,36,1765.36,63552.96,Monthly,10,No
C0239,44,Female,69,2532.36,174732.84,Yearly,9,No
C0240,57,Male,38,913.85,34726.3,Monthly,6,No
C0241,64,Female,46,1960.37,90177.02,Monthly,9,No
C0242,30,Male,62,572.15,35473.3,Monthly,0,Yes
C0243,64,Male,60,1901.0,114060.0,Monthly,3,No
C0244,65,Female,68,2433.23,165459.64,Monthly,4,Yes
C0245,25,Male,31,1938.13,60082.03,Quarterly,5,No
C0246,68,Male,29,581.47,16862.63,Quarterly,8,No
C0247,39,Female,11,1517.27,16689.97,Yearly,4,No
C0248,38,Male,36,636.59,22917.24,Yearly,8,No
C0249,18,Male,63,1140.9,71876.7,Quarterly,2,Yes
C0250,57,Male,15,1377.31,20659.65,Monthly,8,Yes
C0251,26,Female,52,2427.03,126205.56,Quarterly,9,No
C0252,58,Female,35,1375.06,48127.1,Yearly,8,No
C0253,43,Female,38,1235.13,46934.94,Yearly,1,No
C0254,44,Female,34,2779.83,94514.22,Quarterly,10,Yes
C0255,61,Female,51,970.21,49480.71,Yearly,8,No
C0256,24,Female,52,1431.1,74417.2,Yearly,7,No
C0257,50,Male,49,2407.34,117959.66,Yearly,10,No
C0258,39,Male,26,335.36,8719.36,Quarterly,4,No
C0259,66,Male,71,2933.96,208311.16,Monthly,8,No
C0260,66,Female,20,1419.49,28389.8,Monthly,7,Yes
C0261,66,Male,71,1907.54,135435.34,Quarterly,6,No
C0262,68,Male,56,2724.75,152586.0,Quarterly,0,Yes
C0263,62,Male,30,2558.72,76761.6,Quarterly,2,Yes
C0264,35,Female,1,2393.92,2393.92,Monthly,1,Yes
C0265,19,Female,38,2366.46,89925.48,Monthly,3,Yes
C0266,18,Female,8,2626.82,21014.56,Monthly,6,Yes
C0267,20,Female,32,1035.22,33127.04,Monthly,2,No
C0268,63,Female,34,1403.58,47721.72,Quarterly,6,Yes
C0269,45,Male,32,2233.13,71460.16,Quarterly,7,Yes
C0270,18,Female,57,899.32,51261.24,Monthly,7,Yes
C0271,40,Female,59,1664.87,98227.33,Monthly,7,No
C0272,64,Male,67,2696.14,180641.38,Monthly,7,Yes
C0273,51,Male,35,956.56,33479.6,Yearly,7,Yes
C0274,63,Male,16,1372.4,21958.4,Quarterly,4,Yes
C0275,38,Female,14,1091.5,15281.0,Yearly,1,No
C0276,24,Male,7,2286.94,16008.58,Monthly,4,No
C0277,36,Female,19,1874.21,35609.99,Yearly,1,No
C0278,19,Male,1,2507.1,2507.1,Yearly,3,No
C0279,28,Female,2,1280.26,2560.52,Yearly,6,No
C0280,29,Male,20,1985.2,39704.0,Monthly,5,No
C0281,47,Female,9,1477.54,13297.86,Yearly,2,No
C0282,69,Male,24,608.44,14602.56,Yearly,7,No
C0283,63,Male,14,2302.55,32235.7,Yearly,1,No
C0284,62,Female,25,996.3,24907.5,Yearly,5,No
C0285,39,Female,4,657.15,2628.6,Yearly,1,No
C0286,40,Male,37,349.65,12937.05,Quarterly,1,Yes
C0287,38,Male,42,1856.59,77976.78,Yearly,5,No
C0288,51,Female,17,1394.17,23700.89,Yearly,5,No
C0289,29,Female,27,2730.05,73711.35,Yearly,5,Yes
C0290,44,Male,40,976.97,39078.8,Quarterly,8,No
C0291,24,Female,10,2768.91,27689.1,Monthly,9,Yes
C0292,38,Male,62,1701.08,105466.96,Yearly,1,No
C0293,60,Female,65,523.56,34031.4,Quarterly,3,No
C0294,68,Male,26,484.27,12591.02,Quarterly,10,Yes
C0295,57,Female,11,1260.32,13863.52,Yearly,0,No
C0296,56,Male,54,1585.34,85608.36,Yearly,7,No
C0297,39,Female,69,1606.14,110823.66,Yearly,9,No
C0298,53,Male,20,737.44,14748.8,Yearly,3,No
C0299,60,Male,62,2879.14,178506.68,Monthly,10,Yes
C0300,51,Male,26,1580.44,41091.44,Quarterly,8,Yes
C0301,26,Female,40,2266.11,90644.4,Yearly,8,No
C0302,60,Male,42,1541.14,64727.88,Monthly,2,No
C0303,20,Female,44,2912.79,128162.76,Yearly,5,No
C0304,51,Female,12,1274.63,15295.56,Monthly,10,Yes
C0305,66,Male,61,2433.04,148415.44,Monthly,8,Yes
C0306,66,Male,47,534.1,25102.7,Monthly,7,Yes
C0307,36,Male,8,2025.16,16201.28,Monthly,0,Yes
C0308,40,Male,70,2947.56,206329.2,Yearly,1,No
C0309,42,Male,12,897.27,10767.24,Quarterly,9,Yes
C0310,58,Female,26,406.45,10567.7,Yearly,9,Yes
C0311,33,Female,71,2998.25,212875.75,Yearly,9,No
C0312,38,Female,7,391.65,2741.55,Yearly,4,No
C0313,24,Female,9,820.02,7380.18,Monthly,7,Yes
C0314,67,Female,59,2849.52,168121.68,Quarterly,1,No
C0315,48,Male,39,1528.89,59626.71,Quarterly,10,No
C0316,59,Female,17,2055.45,34942.65,Yearly,7,No
C0317,52,Female,60,1598.87,95932.2,Quarterly,2,No
C0318,54,Female,43,1217.66,52359.38,Quarterly,6,No
C0319,40,Male,39,1151.28,44899.92,Quarterly,0,No
C0320,21,Female,25,2292.21,57305.25,Quarterly,0,No
C0321,33,Male,42,2667.0,112014.0,Monthly,1,No
C0322,52,Male,42,2973.92,124904.64,Quarterly,10,No
C0323,30,Male,13,1336.7,17377.1,Quarterly,2,No
C0324,56,Female,46,1246.92,57358.32,Yearly,0,No
C0325,46,Female,62,1595.66,98930.92,Monthly,8,No
C0326,33,Female,56,1033.55,57878.8,Quarterly,8,No
C0327,27,Female,30,1427.97,42839.1,Yearly,6,Yes
C0328,37,Female,5,2277.13,11385.65,Quarterly,0,No
C0329,20,Female,45,1257.48,56586.6,Yearly,1,No
C0330,21,Female,18,930.74,16753.32,Quarterly,8,No
C0331,65,Female,65,2757.92,179264.8,Quarterly,8,Yes
C0332,32,Female,49,1357.4,66512.6,Yearly,3,No
C0333,29,Male,59,2864.9,169029.1,Quarterly,4,No
C0334,60,Female,70,2952.29,206660.3,Yearly,7,No
C0335,28,Female,62,1956.21,121285.02,Quarterly,8,No
C0336,24,Male,52,475.46,24723.92,Yearly,7,No
C0337,37,Female,63,922.54,58120.02,Yearly,2,Yes
C0338,62,Female,57,895.31,51032.67,Monthly,0,No
C0339,20,Male,6,2462.08,14772.48,Monthly,5,No
C0340,64,Female,49,1699.3,83265.7,Quarterly,3,No
C0341,66,Male,61,1002.63,61160.43,Yearly,2,No
C0342,67,Female,62,2990.11,185386.82,Yearly,2,No
C0343,49,Male,13,904.31,11756.03,Quarterly,8,Yes
C0344,26,Male,68,1866.23,126903.64,Yearly,1,No
C0345,28,Female,56,1017.12,56958.72,Monthly,8,Yes
C0346,20,Female,25,2600.92,65023.0,Yearly,9,Yes
C0347,26,Female,40,2815.29,112611.6,Quarterly,10,Yes
C0348,51,Male,38,1001.34,38050.92,Quarterly,4,No
C0349,65,Male,18,518.82,9338.76,Quarterly,4,No
C0350,30,Female,40,2683.85,107354.0,Monthly,2,No
C0351,20,Female,56,2087.7,116911.2,Monthly,7,No
C0352,44,Female,33,2672.3,88185.9,Yearly,2,No
C0353,33,Male,40,962.27,38490.8,Quarterly,10,Yes
C0354,65,Female,41,1201.82,49274.62,Monthly,8,No
C0355,59,Female,63,2187.27,137798.01,Quarterly,6,No
C0356,22,Female,45,2653.98,119429.1,Quarterly,2,No
C0357,48,Female,23,313.89,7219.47,Monthly,10,Yes
C0358,47,Male,39,734.05,28627.95,Quarterly,3,No
C0359,19,Male,12,317.24,3806.88,Quarterly,10,No
C0360,66,Male,17,612.78,10417.26,Monthly,1,Yes
C0361,41,Female,35,646.81,22638.35,Yearly,2,No
C0362,47,Male,71,1761.42,125060.82,Yearly,1,No
C0363,45,Male,60,784.64,47078.4,Monthly,4,No
C0364,46,Female,22,2830.52,62271.44,Monthly,3,No
C0365,67,Male,68,1112.6,75656.8,Quarterly,0,No
C0366,29,Female,22,2213.14,48689.08,Yearly,5,No
C0367,18,Male,22,1976.47,43482.34,Quarterly,10,No
C0368,35,Female,50,2973.4,148670.0,Quarterly,3,No
C0369,52,Female,52,2347.31,122060.12,Quarterly,6,Yes
C0370,46,Female,11,2518.08,27698.88,Monthly,2,No
C0371,28,Female,58,302.78,17561.24,Monthly,1,Yes
C0372,63,Female,29,2849.62,82638.98,Monthly,2,Yes
C0373,30,Male,39,1722.97,67195.83,Quarterly,10,No
C0374,69,Male,32,522.43,16717.76,Quarterly,3,No
C0375,39,Male,27,2643.75,71381.25,Yearly,7,No
C0376,45,Female,21,2755.72,57870.12,Yearly,4,Yes
C0377,37,Female,6,2352.25,14113.5,Quarterly,4,No
C0378,20,Male,1,1166.01,1166.01,Yearly,5,Yes
C0379,32,Male,34,875.38,29762.92,Quarterly,0,No
C0380,42,Male,24,1295.02,31080.48,Monthly,10,Yes
C0381,25,Female,60,800.92,48055.2,Yearly,0,No
C0382,46,Male,53,714.88,37888.64,Monthly,10,Yes
C0383,63,Male,50,2354.76,117738.0,Quarterly,2,No
C0384,46,Male,64,1094.25,70032.0,Monthly,7,Yes
C0385,20,Female,20,2450.65,49013.0,Quarterly,8,Yes
C0386,47,Female,71,638.0,45298.0,Yearly,3,Yes
C0387,53,Male,9,841.42,7572.78,Monthly,8,Yes
C0388,39,Male,2,2453.41,4906.82,Quarterly,10,No
C0389,30,Male,72,1554.42,111918.24,Quarterly,1,No
C0390,63,Male,38,1087.49,41324.62,Yearly,8,Yes
C0391,50,Male,41,406.97,16685.77,Yearly,5,No
C0392,68,Male,41,953.52,39094.32,Quarterly,8,No
C0393,63,Female,32,349.59,11186.88,Monthly,5,No
C0394,39,Female,20,1234.24,24684.8,Monthly,7,Yes
C0395,49,Male,2,1742.45,3484.9,Quarterly,8,Yes
C0396,30,Female,30,389.65,11689.5,Quarterly,3,No
C0397,43,Female,22,1169.66,25732.52,Quarterly,5,Yes
C0398,56,Female,46,2171.62,99894.52,Monthly,1,Yes
C0399,59,Female,44,582.33,25622.52,Yearly,10,No
C0400,20,Male,6,1905.9,11435.4,Quarterly,8,Yes
C0401,56,Female,32,1106.86,35419.52,Quarterly,7,No
C0402,25,Female,50,1988.32,99416.0,Yearly,3,No
C0403,64,Female,7,2084.21,14589.47,Quarterly,3,Yes
C0404,23,Female,58,2416.35,140148.3,Monthly,2,Yes
C0405,58,Female,60,2275.29,136517.4,Yearly,10,Yes
C0406,35,Female,12,967.18,11606.16,Quarterly,8,No
C0407,62,Female,19,2934.84,55761.96,Monthly,3,Yes
C0408,62,Male,8,2653.95,21231.6,Monthly,4,Yes
C0409,49,Male,51,736.52,37562.52,Yearly,5,No
C0410,35,Male,22,1197.25,26339.5,Monthly,7,Yes
C0411,58,Male,59,2055.88,121296.92,Monthly,9,No
C0412,68,Female,35,895.52,31343.2,Quarterly,5,No
C0413,32,Male,7,1549.08,10843.56,Yearly,4,Yes
C0414,48,Male,58,2305.31,133707.98,Monthly,3,Yes
C0415,54,Male,4,2285.45,9141.8,Quarterly,3,Yes
C0416,41,Male,50,2640.99,132049.5,Quarterly,8,No
C0417,53,Female,66,1913.85,126314.1,Yearly,3,Yes
C0418,23,Female,39,1047.44,40850.16,Monthly,2,No
C0419,29,Female,3,1982.01,5946.03,Monthly,7,Yes
C0420,38,Female,15,936.64,14049.6,Quarterly,9,Yes
C0421,25,Female,42,941.37,39537.54,Monthly,1,No
C0422,54,Male,69,486.66,33579.54,Monthly,8,No
C0423,64,Female,14,1690.01,23660.14,Quarterly,8,No
C0424,37,Female,2,557.21,1114.42,Yearly,0,Yes
C0425,42,Female,28,996.96,27914.88,Quarterly,4,No
C0426,22,Female,65,2388.38,155244.7,Monthly,7,Yes
C0427,53,Male,45,939.98,42299.1,Yearly,10,Yes
C0428,27,Male,67,1493.47,100062.49,Quarterly,9,No
C0429,46,Female,10,2107.35,21073.5,Yearly,8,No
C0430,18,Male,5,971.53,4857.65,Yearly,10,Yes
C0431,29,Male,1,981.83,981.83,Yearly,5,No
C0432,37,Female,28,399.01,11172.28,Monthly,4,No
C0433,64,Female,37,2410.83,89200.71,Yearly,7,Yes
C0434,61,Male,56,1880.46,105305.76,Yearly,5,No
C0435,61,Male,61,392.31,23930.91,Yearly,1,No
C0436,26,Female,37,2828.84,104667.08,Monthly,0,Yes
C0437,52,Male,70,786.03,55022.1,Yearly,10,Yes
C0438,22,Male,33,1669.53,55094.49,Yearly,9,Yes
C0439,37,Male,53,1595.72,84573.16,Quarterly,10,No
C0440,60,Male,50,2927.36,146368.0,Yearly,6,No
C0441,48,Female,56,1692.11,94758.16,Quarterly,1,No
C0442,40,Female,44,1737.06,76430.64,Monthly,6,No
C0443,62,Female,52,2202.64,114537.28,Yearly,9,Yes
C0444,25,Female,1,2273.24,2273.24,Monthly,5,Yes
C0445,22,Male,47,2170.09,101994.23,Quarterly,6,Yes
C0446,43,Male,43,2144.77,92225.11,Quarterly,1,No
C0447,35,Male,17,2543.37,43237.29,Quarterly,7,No
C0448,66,Male,72,2447.88,176247.36,Yearly,3,No
C0449,50,Female,1,882.32,882.32,Monthly,4,No
C0450,65,Female,69,1858.4,128229.6,Monthly,1,Yes
C0451,67,Female,64,430.17,27530.88,Monthly,8,Yes
